gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS18985,HVO_RS18985,protein_coding,-0.0569453150004005,0.117389093763995,0.220564859472866,,45.7381998377696,36.9196604028977
HVO_RS14585,HVO_RS14585,protein_coding,-0.0557049017171152,0.052478875866398,0.220998612849314,0.432523940155101,9130.8695769908,8679.26901551159
HVO_RS10310,HVO_RS10310,protein_coding,-0.065498440196224,0.0696084743774698,0.221048095349614,0.432523940155101,1223.95864586945,1134.94601717234
HVO_RS09040,HVO_RS09040,protein_coding,-0.0631613858365625,0.0643569408547729,0.22118255939912,0.432523940155101,2261.26067148463,2114.07179677637
HVO_RS02980,HVO_RS02980,protein_coding,0.0682186559919803,0.0819955972884979,0.221221675706406,0.432523940155101,252.146310928916,277.712269881422
HVO_RS00990,HVO_RS00990,protein_coding,0.0675652309973816,0.0769169521000628,0.221282977674708,0.432523940155101,220.930340940012,241.295488373934
HVO_RS15055,HVO_RS15055,protein_coding,0.0627327534824704,0.0636780406110961,0.221785098813514,0.433271321548215,33228.9676398757,35484.1868102318
HVO_RS06585,HVO_RS06585,protein_coding,0.0672251555207985,0.0757885465501814,0.221989277102829,0.433436160042113,468.500062121449,511.733913826411
HVO_RS05985,HVO_RS05985,protein_coding,0.0436018339594929,0.142088843396459,0.222140967397445,,7.71579249633674,11.5049317713712
HVO_RS15725,HVO_RS15725,protein_coding,0.0680058570865144,0.0813394237713266,0.222328307616014,0.433863978939988,398.036226932189,437.963912029036
HVO_RS15235,HVO_RS15235,protein_coding,-0.0562892099526081,0.053518133499674,0.222503155573824,0.433971114213528,2208.32729730353,2096.59447513122
HVO_RS14085,HVO_RS14085,protein_coding,-0.0542742971640743,0.050875509890706,0.222748022363301,0.43421462549053,1233.86992053659,1175.77328549807
HVO_RS09305,HVO_RS09305,protein_coding,0.0524176258569355,0.0485663304712393,0.222915885545688,0.434307848090629,2964.27587774196,3102.89783362213
HVO_RS05725,HVO_RS05725,protein_coding,-0.066463275663435,0.0737406821884003,0.223713779584545,0.435462537055835,781.219738450782,719.770388678512
HVO_RS17295,HVO_RS17295,pseudogene,0.0577933244481363,0.055889859093079,0.223827222095668,0.435462537055835,1056.79445417934,1117.05665317292
HVO_RS17060,HVO_RS17060,protein_coding,-0.0597202987172778,0.0588670431742995,0.223869629332187,0.435462537055835,45236.8211457144,42661.5797954888
HVO_RS05305,HVO_RS05305,protein_coding,-0.0571094050248738,0.0549298818713655,0.224013644224236,0.435508524880864,3906.48896838557,3702.82490316619
HVO_RS00365,HVO_RS00365,protein_coding,-0.0608179146774036,0.0609063891851385,0.224781197690041,0.436718460789975,3320.8677009592,3123.02398648177
HVO_RS21435,HVO_RS21435,pseudogene,-0.0673777884287344,0.0790500662171145,0.224894836678011,0.436718460789975,238.737729081338,218.43268474515
HVO_RS15365,HVO_RS15365,protein_coding,0.0501310388791654,0.046116652549307,0.225108491239056,0.436718460789975,2714.54228238451,2833.51376641915
HVO_RS06385,HVO_RS06385,protein_coding,-0.0560611974489829,0.0536422101641981,0.225118830672555,0.436718460789975,82250.5055989679,78107.7872582392
HVO_RS07605,HVO_RS07605,protein_coding,-0.0669475793982783,0.0913641264882313,0.225444793662186,0.437116432727647,183.558342859019,163.120312349173
HVO_RS09530,HVO_RS09530,protein_coding,0.066043664440032,0.073349832161348,0.225859030812186,0.437178388628404,333.962393078293,362.657513919687
HVO_RS17720,HVO_RS17720,protein_coding,0.0658943618666504,0.0954948941088364,0.225866840047073,0.437178388628404,104.946234208641,119.00474126157
HVO_RS16775,HVO_RS16775,protein_coding,0.0525015529323382,0.049087994503859,0.225896168935938,0.437178388628404,1669.25548458377,1749.1566038984
HVO_RS18870,HVO_RS18870,protein_coding,-0.05251432697855,0.0491129767796921,0.225960084780297,0.437178388628404,10060.1526930471,9604.69109457934
HVO_RS11240,HVO_RS11240,protein_coding,0.0542316129350675,0.0513866653973343,0.226459560933009,0.437718366775674,10275.0681399043,10789.296189762
HVO_RS11270,HVO_RS11270,protein_coding,-0.0671095930092104,0.0894075807762194,0.226481144998359,0.437718366775674,128.82663876381,114.94362438306
HVO_RS01945,HVO_RS01945,protein_coding,0.0668710513071023,0.0904752676435965,0.226966657377572,0.437783852009537,207.222687904645,233.53027420689
HVO_RS19430,HVO_RS19430,protein_coding,0.0670781984731539,0.0791331172880467,0.226987496608648,0.437783852009537,250.487446399467,274.913613422562
HVO_RS05080,HVO_RS05080,protein_coding,-0.0630028743469231,0.0656743720923949,0.226997321591427,0.437783852009537,1195.02006331271,1116.20142863793
